--coupons
	['10%coupon'] 				 = {['name'] = '10%coupon', 			  	  	['label'] = '10% off coupon', 			 ['weight'] = 100, 		['type'] = 'item', 		['image'] = 'coupon_10.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = '10% off coupon to use at any business who accepts coupons'},
	['original'] 				 = {['name'] = 'original', 			  	  		['label'] = 'Original Rockstar', 		 ['weight'] = 100, 		['type'] = 'item', 		['image'] = 'original.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	['sour-bubble'] 			 = {['name'] = 'sour-bubble', 			  	  	['label'] = 'Sour Bubble Rockstar', 	 ['weight'] = 100, 		['type'] = 'item', 		['image'] = 'sour-bubble.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	['tropical-punch'] 			 = {['name'] = 'tropical-punch', 			  	['label'] = 'Tropical Punch Rockstar', 	 ['weight'] = 100, 		['type'] = 'item', 		['image'] = 'tropical-punch.png', 		['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	['watermelon-punch'] 		 = {['name'] = 'watermelon-punch', 			  	['label'] = 'Watermelon Punch Rockstar', ['weight'] = 100, 		['type'] = 'item', 		['image'] = 'watermelon-punch.png', 	['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},

	['prime'] 				 	 = {['name'] = 'prime', 			  	  		['label'] = 'Prime', 					['weight'] = 100, 		['type'] = 'item', 		['image'] = 'prime.png', 				['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	['junk'] 				 	 = {['name'] = 'junk', 			  	  			['label'] = 'Junk', 					['weight'] = 100, 		['type'] = 'item', 		['image'] = 'junk.png', 				['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},

	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
	[''] 				 = {['name'] = '', 			  	  	['label'] = '', 			['weight'] = 100, 		['type'] = 'item', 		['image'] = '.png', 			['unique'] = false, 		['useable'] = true, 	['shouldClose'] = true,	   ['combinable'] = nil,   ['description'] = ''},
